Times,Diff in nanoseconds,In microseconds,In milliseconds,Diff of diff in microseconds,Diff of diff in milliseconds
10996710818900,0,0,0,0,0
10997471155900,760337000,760337,760.337,760337,760.337
10998473674800,1002518900,1002518.9,1002.5189,242182,242.1819
10999487071900,1013397100,1013397.1,1013.3971,10878,10.8782
11000498298400,1011226500,1011226.5,1011.2265,-2171,-2.1706
11001507159600,1008861200,1008861.2,1008.8612,-2365,-2.3653
11002519916000,1012756400,1012756.4,1012.7564,3895,3.8952
11003531066400,1011150400,1011150.4,1011.1504,-1606,-1.606
11004538705000,1007638600,1007638.6,1007.6386,-3512,-3.5118
11005549706500,1011001500,1011001.5,1011.0015,3363,3.3629
11006563714600,1014008100,1014008.1,1014.0081,3007,3.0066
11007574246600,1010532000,1010532,1010.532,-3476,-3.4761
11008585973000,1011726400,1011726.4,1011.7264,1194,1.1944
11009594053000,1008080000,1008080,1008.08,-3646,-3.6464
11010601914700,1007861700,1007861.7,1007.8617,-218,-0.2183
11011615803300,1013888600,1013888.6,1013.8886,6027,6.0269
11012626432000,1010628700,1010628.7,1010.6287,-3260,-3.2599
11013641316200,1014884200,1014884.2,1014.8842,4256,4.2555
11014657280800,1015964600,1015964.6,1015.9646,1080,1.0804
11015664524400,1007243600,1007243.6,1007.2436,-8721,-8.721
11016672118800,1007594400,1007594.4,1007.5944,351,0.3508
11017683800000,1011681200,1011681.2,1011.6812,4087,4.0868
11018696556800,1012756800,1012756.8,1012.7568,1076,1.0756
11019707525400,1010968600,1010968.6,1010.9686,-1788,-1.7882
11020716741200,1009215800,1009215.8,1009.2158,-1753,-1.7528
11021728770300,1012029100,1012029.1,1012.0291,2813,2.8133
11022736506300,1007736000,1007736,1007.736,-4293,-4.2931
11023746680000,1010173700,1010173.7,1010.1737,2438,2.4377
11024760092900,1013412900,1013412.9,1013.4129,3239,3.2392
11025769573900,1009481000,1009481,1009.481,-3932,-3.9319
11026783714200,1014140300,1014140.3,1014.1403,4659,4.6593
11027798740200,1015026000,1015026,1015.026,886,0.8857
11028808269300,1009529100,1009529.1,1009.5291,-5497,-5.4969
11029823951500,1015682200,1015682.2,1015.6822,6153,6.1531
11030839108300,1015156800,1015156.8,1015.1568,-525,-0.5254
11031849964900,1010856600,1010856.6,1010.8566,-4300,-4.3002
11032863063600,1013098700,1013098.7,1013.0987,2242,2.2421
11033872195200,1009131600,1009131.6,1009.1316,-3967,-3.9671
11034881961400,1009766200,1009766.2,1009.7662,635,0.6346
11035885102600,1003141200,1003141.2,1003.1412,-6625,-6.625
11036886448800,1001346200,1001346.2,1001.3462,-1795,-1.795
11037893958600,1007509800,1007509.8,1007.5098,6164,6.1636
11038905177000,1011218400,1011218.4,1011.2184,3709,3.7086
11039916833500,1011656500,1011656.5,1011.6565,438,0.4381
11040927881000,1011047500,1011047.5,1011.0475,-609,-0.609
11041938471900,1010590900,1010590.9,1010.5909,-457,-0.4566
11042951385500,1012913600,1012913.6,1012.9136,2323,2.3227
11043966870300,1015484800,1015484.8,1015.4848,2571,2.5712
11044977100900,1010230600,1010230.6,1010.2306,-5254,-5.2542
11045982664600,1005563700,1005563.7,1005.5637,-4667,-4.6669
11046989945800,1007281200,1007281.2,1007.2812,1718,1.7175
11047997653700,1007707900,1007707.9,1007.7079,427,0.4267
11049008014900,1010361200,1010361.2,1010.3612,2653,2.6533
11050016087900,1008073000,1008073,1008.073,-2288,-2.2882
11051024504900,1008417000,1008417,1008.417,344,0.344
11052037454900,1012950000,1012950,1012.95,4533,4.533
11053046387700,1008932800,1008932.8,1008.9328,-4017,-4.0172
11054056127300,1009739600,1009739.6,1009.7396,807,0.8068
11055065035900,1008908600,1008908.6,1008.9086,-831,-0.831
11056071827500,1006791600,1006791.6,1006.7916,-2117,-2.117
11057082310700,1010483200,1010483.2,1010.4832,3692,3.6916
11058094171400,1011860700,1011860.7,1011.8607,1378,1.3775
11059106777000,1012605600,1012605.6,1012.6056,745,0.7449
11060120649800,1013872800,1013872.8,1013.8728,1267,1.2672
11061135385200,1014735400,1014735.4,1014.7354,863,0.8626
11062147818300,1012433100,1012433.1,1012.4331,-2302,-2.3023
11063157559400,1009741100,1009741.1,1009.7411,-2692,-2.692
11064165386900,1007827500,1007827.5,1007.8275,-1914,-1.9136
11065173170900,1007784000,1007784,1007.784,-44,-0.0435
11066184160800,1010989900,1010989.9,1010.9899,3206,3.2059
11067195036500,1010875700,1010875.7,1010.8757,-114,-0.1142
11068208431900,1013395400,1013395.4,1013.3954,2520,2.5197
11069214474300,1006042400,1006042.4,1006.0424,-7353,-7.353
11070229898400,1015424100,1015424.1,1015.4241,9382,9.3817
11071235501800,1005603400,1005603.4,1005.6034,-9821,-9.8207
11072248025800,1012524000,1012524,1012.524,6921,6.9206
11073259933400,1011907600,1011907.6,1011.9076,-616,-0.6164
11074268694800,1008761400,1008761.4,1008.7614,-3146,-3.1462
11075282451800,1013757000,1013757,1013.757,4996,4.9956
11076290514600,1008062800,1008062.8,1008.0628,-5694,-5.6942
11077305284000,1014769400,1014769.4,1014.7694,6707,6.7066
11078312365300,1007081300,1007081.3,1007.0813,-7688,-7.6881
11079326059000,1013693700,1013693.7,1013.6937,6612,6.6124
11080333590900,1007531900,1007531.9,1007.5319,-6162,-6.1618
11081344669200,1011078300,1011078.3,1011.0783,3546,3.5464
11082358234200,1013565000,1013565,1013.565,2487,2.4867
11083370731400,1012497200,1012497.2,1012.4972,-1068,-1.0678
11084383387200,1012655800,1012655.8,1012.6558,159,0.1586
11085395817600,1012430400,1012430.4,1012.4304,-225,-0.2254
11086405722400,1009904800,1009904.8,1009.9048,-2526,-2.5256
11087414555400,1008833000,1008833,1008.833,-1072,-1.0718
11088426338900,1011783500,1011783.5,1011.7835,2951,2.9505
11089436231500,1009892600,1009892.6,1009.8926,-1891,-1.8909
11090451335800,1015104300,1015104.3,1015.1043,5212,5.2117
11091464325300,1012989500,1012989.5,1012.9895,-2115,-2.1148
11092478682300,1014357000,1014357,1014.357,1368,1.3675
11093491826300,1013144000,1013144,1013.144,-1213,-1.213
11094505812200,1013985900,1013985.9,1013.9859,842,0.8419
11095513985000,1008172800,1008172.8,1008.1728,-5813,-5.8131
11096524911100,1010926100,1010926.1,1010.9261,2753,2.7533
11097531855700,1006944600,1006944.6,1006.9446,-3982,-3.9815
11098540602200,1008746500,1008746.5,1008.7465,1802,1.8019
11099549908600,1009306400,1009306.4,1009.3064,560,0.5599
11100559689600,1009781000,1009781,1009.781,475,0.4746
11101567439600,1007750000,1007750,1007.75,-2031,-2.031
11102577129800,1009690200,1009690.2,1009.6902,1940,1.9402
11103590215300,1013085500,1013085.5,1013.0855,3395,3.3953
11104600718400,1010503100,1010503.1,1010.5031,-2582,-2.5824
11105612492400,1011774000,1011774,1011.774,1271,1.2709
11106623696900,1011204500,1011204.5,1011.2045,-570,-0.5695
11107635024200,1011327300,1011327.3,1011.3273,123,0.1228
11108643522500,1008498300,1008498.3,1008.4983,-2829,-2.829
11109650456600,1006934100,1006934.1,1006.9341,-1564,-1.5642
11110659532400,1009075800,1009075.8,1009.0758,2142,2.1417
11111670332400,1010800000,1010800,1010.8,1724,1.7242
11112681632400,1011300000,1011300,1011.3,500,0.5
11113696567300,1014934900,1014934.9,1014.9349,3635,3.6349
11114711706800,1015139500,1015139.5,1015.1395,205,0.2046
11115722861400,1011154600,1011154.6,1011.1546,-3985,-3.9849
11116731590900,1008729500,1008729.5,1008.7295,-2425,-2.4251
11117746496800,1014905900,1014905.9,1014.9059,6176,6.1764
11118757751400,1011254600,1011254.6,1011.2546,-3651,-3.6513
11119763683400,1005932000,1005932,1005.932,-5323,-5.3226
11120774204000,1010520600,1010520.6,1010.5206,4589,4.5886
11121788065100,1013861100,1013861.1,1013.8611,3341,3.3405
11122804668300,1016603200,1016603.2,1016.6032,2742,2.7421
11123815777600,1011109300,1011109.3,1011.1093,-5494,-5.4939
11124826137500,1010359900,1010359.9,1010.3599,-749,-0.7494
11125840716100,1014578600,1014578.6,1014.5786,4219,4.2187
11126853898700,1013182600,1013182.6,1013.1826,-1396,-1.396
11127864773300,1010874600,1010874.6,1010.8746,-2308,-2.308
11128871734300,1006961000,1006961,1006.961,-3914,-3.9136
11129883225700,1011491400,1011491.4,1011.4914,4530,4.5304
11130894135000,1010909300,1010909.3,1010.9093,-582,-0.5821
11131907111000,1012976000,1012976,1012.976,2067,2.0667
11132913081600,1005970600,1005970.6,1005.9706,-7005,-7.0054
11133927370000,1014288400,1014288.4,1014.2884,8318,8.3178
11134940227100,1012857100,1012857.1,1012.8571,-1431,-1.4313
11135948416800,1008189700,1008189.7,1008.1897,-4667,-4.6674
11136958702000,1010285200,1010285.2,1010.2852,2096,2.0955
11137970889300,1012187300,1012187.3,1012.1873,1902,1.9021
11138984034400,1013145100,1013145.1,1013.1451,958,0.9578
11139993343100,1009308700,1009308.7,1009.3087,-3836,-3.8364
11141008239500,1014896400,1014896.4,1014.8964,5588,5.5877
11142021971400,1013731900,1013731.9,1013.7319,-1165,-1.1645
11143037119600,1015148200,1015148.2,1015.1482,1416,1.4163
11144051411200,1014291600,1014291.6,1014.2916,-857,-0.8566
11145063000400,1011589200,1011589.2,1011.5892,-2702,-2.7024
11146074631300,1011630900,1011630.9,1011.6309,42,0.0417
11147080725300,1006094000,1006094,1006.094,-5537,-5.5369
11148092738400,1012013100,1012013.1,1012.0131,5919,5.9191
11149103577200,1010838800,1010838.8,1010.8388,-1174,-1.1743
11150113592900,1010015700,1010015.7,1010.0157,-823,-0.8231
11151127215100,1013622200,1013622.2,1013.6222,3607,3.6065
